,Name,MatchScore
0,S01_214.pgm,1.24
0,S01_215.pgm,0.957
0,S01_216.pgm,0.87
0,S01_217.pgm,1.05
0,S01_218.pgm,1.33
0,S01_219.pgm,0.988
0,S01_220.pgm,1.069
0,S01_221.pgm,0.956
0,S01_222.pgm,1.059
0,S01_223.pgm,0.834
0,S01_224.pgm,0.47
0,S01_225.pgm,0.412
0,S01_226.pgm,0.478
0,S01_227.pgm,0.461
0,S01_228.pgm,0.377
0,S01_229.pgm,0.287
0,S01_230.pgm,0.256
0,S01_231.pgm,0.2
0,S01_232.pgm,0.158
0,S01_233.pgm,0.154
0,S01_234.pgm,0.207
0,S01_235.pgm,0.106
0,S01_236.pgm,0.194
0,S01_237.pgm,0.192
0,S01_238.pgm,0.162
0,S01_239.pgm,0.137
0,S01_240.pgm,0.167
0,S01_241.pgm,0.174
0,S01_242.pgm,0.173
0,S01_243.pgm,0.109
0,S01_244.pgm,0.168
0,S01_245.pgm,0.242
0,S01_246.pgm,0.175
0,S01_247.pgm,0.103
0,S01_248.pgm,0.142
0,S01_249.pgm,0.134
0,S01_250.pgm,0.125
0,S01_251.pgm,0.056
0,S01_252.pgm,0.069
0,S01_253.pgm,0.056
0,S01_254.pgm,0.069
0,S01_255.pgm,0.087
0,S01_256.pgm,0.089
0,S01_257.pgm,0.094
0,S01_258.pgm,0.092
0,S01_259.pgm,0.096
0,S01_260.pgm,0.088
0,S01_261.pgm,0.686
0,S01_262.pgm,0.553
0,S01_263.pgm,0.489
0,S01_264.pgm,0.688
0,S01_265.pgm,0.468
0,S01_266.pgm,0.419
0,S01_267.pgm,0.59
0,S01_268.pgm,0.744
0,S01_269.pgm,0.627
0,S01_270.pgm,0.586
0,S01_271.pgm,0.659
0,S01_272.pgm,0.551
0,S01_273.pgm,0.697
0,S01_274.pgm,0.767
0,S01_275.pgm,1.101
0,S01_276.pgm,1.018
0,S01_277.pgm,0.744
0,S01_278.pgm,1.127
0,S01_279.pgm,0.747
0,S01_280.pgm,0.932
0,S01_281.pgm,0.867
0,S01_282.pgm,0.52
0,S01_283.pgm,0.723
0,S01_284.pgm,1.189
0,S01_285.pgm,0.877
0,S01_286.pgm,0.718
